Date,Open,High,Low,Close,Adj Close,Volume
2017-12-29,190.559998,190.809998,187.009995,187.410004,187.410004,189700
2018-01-02,188.130005,193.360001,188.050003,192.490005,192.490005,233700
2018-01-03,193.289993,196.479996,192.529999,195.820007,195.820007,208800
2018-01-04,198.000000,200.139999,197.270004,199.250000,199.250000,300700
2018-01-05,200.779999,202.960007,200.779999,202.320007,202.320007,277400
2018-01-08,208.240005,211.339996,204.669998,207.800003,207.800003,387400
2018-01-09,209.110001,210.149994,206.820007,209.759995,209.759995,234900
2018-01-10,209.570007,209.759995,206.539993,208.139999,208.139999,166400
2018-01-11,209.610001,210.240005,207.500000,210.149994,210.149994,216000
2018-01-12,210.720001,216.149994,210.360001,215.110001,215.110001,283300
2018-01-16,216.690002,219.110001,216.000000,218.089996,218.089996,558700
2018-01-17,219.110001,225.240005,217.580002,224.130005,224.130005,534900
2018-01-18,224.759995,228.080002,224.000000,225.889999,225.889999,332500
2018-01-19,227.330002,229.050003,226.089996,228.289993,228.289993,179200
2018-01-22,229.229996,229.429993,226.830002,228.179993,228.179993,245000
2018-01-23,228.710007,231.389999,227.449997,230.270004,230.270004,231500
2018-01-24,231.250000,233.500000,228.779999,232.949997,232.949997,331400
2018-01-25,234.000000,237.399994,232.929993,236.320007,236.320007,264500
2018-01-26,237.300003,239.100006,233.509995,238.889999,238.889999,199100
2018-01-29,239.000000,239.919998,235.869995,236.649994,236.649994,305900
2018-01-30,233.559998,237.610001,219.610001,235.059998,235.059998,488100
2018-01-31,236.100006,237.309998,233.490005,235.000000,235.000000,332600
2018-02-01,238.000000,253.880005,238.000000,253.130005,253.130005,949700
2018-02-02,251.100006,255.419998,246.610001,248.199997,248.199997,426600
2018-02-05,245.000000,245.000000,236.509995,239.369995,239.369995,872500
2018-02-06,232.460007,242.369995,227.199997,232.110001,232.110001,916400
2018-02-07,232.110001,240.139999,232.110001,239.020004,239.020004,518800
2018-02-08,240.000000,240.389999,229.229996,229.500000,229.500000,495100
2018-02-09,230.210007,231.729996,219.130005,229.380005,229.380005,556400
2018-02-12,232.149994,235.490005,228.990005,233.720001,233.720001,371400
2018-02-13,230.039993,236.139999,225.500000,233.990005,233.990005,313200
2018-02-14,237.270004,256.130005,236.660004,255.470001,255.470001,1013200
2018-02-15,259.079987,262.609985,255.029999,261.040009,261.040009,536100
2018-02-16,260.429993,268.720001,260.010010,267.739990,267.739990,512500
2018-02-20,267.899994,273.269989,264.450012,270.480011,270.480011,475100
2018-02-21,271.989990,274.000000,267.779999,268.250000,268.250000,515500
2018-02-22,269.640015,271.100006,261.320007,263.970001,263.970001,640100
2018-02-23,265.010010,268.570007,261.239990,268.450012,268.450012,367100
2018-02-26,270.519989,274.000000,269.149994,273.179993,273.179993,339600
2018-02-27,273.600006,273.600006,269.390015,271.250000,271.250000,214900
2018-02-28,272.630005,274.399994,267.980011,268.179993,268.179993,208100
2018-03-01,268.000000,269.929993,258.100006,265.709991,265.709991,570900
2018-03-02,263.130005,276.209991,260.000000,275.130005,275.130005,458900
2018-03-05,274.519989,281.380005,273.179993,279.269989,279.269989,436700
2018-03-06,280.670013,285.480011,276.769989,281.540009,281.540009,541500
2018-03-07,277.380005,288.839996,277.119995,285.380005,285.380005,467800
2018-03-08,286.989990,290.519989,286.100006,288.600006,288.600006,371100
2018-03-09,292.619995,297.450012,291.079987,294.519989,294.519989,491300
2018-03-12,295.649994,304.279999,290.529999,294.739990,294.739990,320100
2018-03-13,295.730011,299.200012,290.119995,293.170013,293.170013,329200
2018-03-14,294.000000,296.019989,290.829987,295.850006,295.850006,333400
2018-03-15,297.010010,297.980011,293.950012,294.570007,294.570007,359100
2018-03-16,295.130005,297.609985,289.269989,293.049988,293.049988,570700
2018-03-19,291.269989,294.570007,285.029999,287.980011,287.980011,467800
2018-03-20,288.869995,295.829987,288.549988,294.010010,294.010010,538400
2018-03-21,294.679993,295.500000,290.359985,292.309998,292.309998,423100
2018-03-22,289.640015,291.570007,285.950012,286.390015,286.390015,383000
2018-03-23,285.779999,290.910004,282.119995,283.989990,283.989990,491000
2018-03-26,288.029999,295.750000,285.049988,295.399994,295.399994,318300
2018-03-27,296.000000,299.880005,283.640015,286.429993,286.429993,474200
2018-03-28,286.420013,286.690002,276.200012,282.989990,282.989990,456100
2018-03-29,284.049988,294.850006,283.149994,290.989990,290.989990,414800
2018-04-02,291.429993,291.440002,276.589996,279.109985,279.109985,609000
2018-04-03,280.799988,284.440002,274.230011,278.070007,278.070007,506400
2018-04-04,277.929993,289.230011,275.390015,288.529999,288.529999,389000
2018-04-05,290.380005,297.000000,290.320007,292.130005,292.130005,343000
2018-04-06,290.160004,294.079987,282.369995,286.220001,286.220001,334800
2018-04-09,289.089996,294.250000,287.709991,288.119995,288.119995,315500
2018-04-10,292.600006,301.170013,290.260010,300.279999,300.279999,590300
2018-04-11,300.399994,302.940002,295.279999,296.399994,296.399994,317200
2018-04-12,297.529999,299.579987,295.589996,296.940002,296.940002,320700
2018-04-13,298.880005,301.290009,293.850006,296.739990,296.739990,268100
2018-04-16,298.000000,299.989990,294.679993,296.320007,296.320007,312000
2018-04-17,298.059998,305.769989,294.279999,304.429993,304.429993,552100
2018-04-18,305.839996,309.279999,302.179993,307.630005,307.630005,446800
2018-04-19,305.739990,307.049988,303.510010,306.450012,306.450012,339900
2018-04-20,306.010010,307.119995,302.709991,305.920013,305.920013,272800
2018-04-23,305.899994,306.549988,300.609985,302.649994,302.649994,420400
2018-04-24,303.230011,305.489990,285.019989,290.929993,290.929993,607200
2018-05-01,301.690002,306.380005,301.690002,305.489990,305.489990,190487
